/home/jiaelee/anaconda2/bin/python /home/jiaelee/PycharmProjects/AI_Project_/classification/DNN_intrusion_detection.py
I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcublas.so.7.5 locally
I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcufft.so.7.5 locally
I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:125] successfully opened CUDA library libcurand.so.7.5 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:910] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties:
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:05:00.0
Total memory: 11.90GiB
Free memory: 11.76GiB
W tensorflow/stream_executor/cuda/cuda_driver.cc:590] creating context when one is currently active; existing: 0x1fa06c0
I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:910] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 1 with properties:
name: Quadro K600
major: 3 minor: 0 memoryClockRate (GHz) 0.8755
pciBusID 0000:04:00.0
Total memory: 979.50MiB
Free memory: 970.75MiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 0 and 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:777] Peer access not supported between device ordinals 1 and 0
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 1
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y N
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 1:   N Y
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:05:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:948] Ignoring visible gpu device (device: 1, name: Quadro K600, pci bus id: 0000:04:00.0) with Cuda compute capability 3.0. The minimum required Cuda capability is 3.5.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:05:00.0)
I tensorflow/core/common_runtime/gpu/gpu_device.cc:948] Ignoring visible gpu device (device: 1, name: Quadro K600, pci bus id: 0000:04:00.0) with Cuda compute capability 3.0. The minimum required Cuda capability is 3.5.
Step:     0	Loss: 14.413	Acc: 52.40%
Step:   100	Loss: 1.021	Acc: 55.48%
Step:   200	Loss: 0.991	Acc: 46.99%
Step:   300	Loss: 0.969	Acc: 56.75%
Step:   400	Loss: 0.964	Acc: 47.04%
Step:   500	Loss: 0.953	Acc: 56.79%
Step:   600	Loss: 0.950	Acc: 56.82%
Step:   700	Loss: 0.951	Acc: 56.93%
Step:   800	Loss: 0.946	Acc: 56.93%
Step:   900	Loss: 0.946	Acc: 57.01%
Step:  1000	Loss: 0.945	Acc: 57.07%
Step:  1100	Loss: 0.944	Acc: 57.12%
Step:  1200	Loss: 0.941	Acc: 57.13%
Step:  1300	Loss: 0.942	Acc: 57.20%
Step:  1400	Loss: 0.941	Acc: 57.23%
Step:  1500	Loss: 0.947	Acc: 47.52%
Step:  1600	Loss: 0.940	Acc: 57.30%
Step:  1700	Loss: 0.940	Acc: 57.34%
Step:  1800	Loss: 0.939	Acc: 57.38%
Step:  1900	Loss: 0.939	Acc: 57.40%
Step:  2000	Loss: 0.937	Acc: 57.41%
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 0
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[True] Prediction: 20 True Y: 20
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[True] Prediction: 5 True Y: 5
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 15
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 9
[True] Prediction: 20 True Y: 20
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 9
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[True] Prediction: 11 True Y: 11
[False] Prediction: 11 True Y: 9
[True] Prediction: 11 True Y: 11
