,attack_type
0,normal
1,anomaly
2,normal
3,normal
4,anomaly
5,anomaly
6,anomaly
7,anomaly
8,anomaly
9,anomaly
10,anomaly
11,normal
12,anomaly
13,anomaly
14,anomaly
15,normal
16,anomaly
17,normal
18,normal
19,anomaly
20,anomaly
21,normal
22,normal
23,anomaly
24,normal
25,anomaly
26,normal
27,normal
28,normal
29,anomaly
30,anomaly
31,normal
32,anomaly
33,normal
34,normal
35,normal
36,anomaly
37,normal
38,anomaly
39,anomaly
40,anomaly
41,normal
42,normal
43,normal
44,anomaly
45,anomaly
46,normal
47,anomaly
48,anomaly
49,normal
50,anomaly
51,anomaly
52,normal
53,normal
54,normal
55,anomaly
56,anomaly
57,anomaly
58,normal
59,normal
60,anomaly
61,anomaly
62,normal
63,anomaly
64,normal
65,anomaly
66,anomaly
67,anomaly
68,anomaly
69,normal
70,anomaly
71,normal
72,normal
73,anomaly
74,normal
75,anomaly
76,normal
77,normal
78,anomaly
79,normal
80,anomaly
81,anomaly
82,anomaly
83,normal
84,anomaly
85,normal
86,anomaly
87,anomaly
88,normal
89,normal
90,normal
91,normal
92,anomaly
93,anomaly
94,normal
95,normal
96,normal
97,normal
98,anomaly
99,normal
100,normal
101,normal
102,normal
103,anomaly
104,normal
105,normal
106,normal
107,normal
108,normal
109,normal
110,normal
111,normal
112,normal
113,normal
114,anomaly
115,anomaly
116,normal
117,normal
118,normal
119,anomaly
120,anomaly
121,anomaly
122,normal
123,anomaly
124,normal
125,normal
126,normal
127,normal
128,normal
129,anomaly
130,anomaly
131,normal
132,normal
133,anomaly
134,anomaly
135,normal
136,normal
137,anomaly
138,anomaly
139,normal
140,anomaly
141,anomaly
142,normal
143,normal
144,normal
145,anomaly
146,normal
147,anomaly
148,anomaly
149,anomaly
150,normal
151,anomaly
152,anomaly
153,anomaly
154,normal
155,normal
156,anomaly
157,anomaly
158,anomaly
159,normal
160,normal
161,normal
162,normal
163,anomaly
164,anomaly
165,normal
166,normal
167,normal
168,normal
169,anomaly
170,normal
171,anomaly
172,anomaly
173,anomaly
174,anomaly
175,normal
176,anomaly
177,anomaly
178,anomaly
179,normal
180,normal
181,normal
182,normal
183,anomaly
184,anomaly
185,anomaly
186,anomaly
187,normal
188,normal
189,anomaly
190,normal
191,anomaly
192,anomaly
193,normal
194,normal
195,normal
196,normal
197,anomaly
198,normal
199,normal
200,anomaly
201,normal
202,normal
203,normal
204,normal
205,anomaly
206,normal
207,normal
208,anomaly
209,anomaly
210,anomaly
211,anomaly
212,normal
213,anomaly
214,anomaly
215,normal
216,normal
217,normal
218,normal
219,normal
220,anomaly
221,anomaly
222,anomaly
223,anomaly
224,normal
225,normal
226,anomaly
227,normal
228,normal
229,normal
230,normal
231,normal
232,anomaly
233,normal
234,anomaly
235,anomaly
236,anomaly
237,normal
238,normal
239,normal
240,anomaly
241,anomaly
242,anomaly
243,anomaly
244,normal
245,anomaly
246,anomaly
247,anomaly
248,normal
249,anomaly
250,normal
251,normal
252,anomaly
253,anomaly
254,anomaly
255,normal
256,normal
257,anomaly
258,normal
259,anomaly
260,normal
261,normal
262,anomaly
263,normal
264,normal
265,normal
266,normal
267,anomaly
268,anomaly
269,normal
270,anomaly
271,normal
272,normal
273,normal
274,normal
275,anomaly
276,anomaly
277,normal
278,normal
279,normal
280,anomaly
281,normal
282,normal
283,anomaly
284,normal
285,anomaly
286,anomaly
287,normal
288,anomaly
289,normal
290,anomaly
291,anomaly
292,normal
293,normal
294,normal
295,normal
296,anomaly
297,normal
298,anomaly
299,normal
300,anomaly
301,anomaly
302,anomaly
303,normal
304,anomaly
305,normal
306,normal
307,anomaly
308,normal
309,anomaly
310,normal
311,anomaly
312,anomaly
313,normal
314,anomaly
315,anomaly
316,anomaly
317,normal
318,anomaly
319,normal
320,anomaly
321,anomaly
322,anomaly
323,normal
324,anomaly
325,normal
326,normal
327,normal
328,normal
329,anomaly
330,anomaly
331,normal
332,normal
333,anomaly
334,normal
335,normal
336,normal
337,anomaly
338,anomaly
339,normal
340,anomaly
341,normal
342,normal
343,anomaly
344,normal
345,anomaly
346,normal
347,anomaly
348,anomaly
349,anomaly
350,normal
351,anomaly
352,normal
353,anomaly
354,normal
355,anomaly
356,normal
357,anomaly
358,normal
359,normal
360,normal
361,anomaly
362,normal
363,normal
364,anomaly
365,anomaly
366,normal
367,anomaly
368,anomaly
369,normal
370,normal
371,normal
372,anomaly
373,normal
374,anomaly
375,normal
376,normal
377,normal
378,anomaly
379,normal
380,anomaly
381,normal
382,anomaly
383,anomaly
384,normal
385,anomaly
386,normal
387,normal
