,attack_type
0,0
1,1
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,1
17,0
18,0
19,1
20,1
21,0
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,1
39,1
40,1
41,0
42,0
43,0
44,1
45,1
46,0
47,1
48,1
49,0
50,1
51,1
52,0
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,1
71,0
72,0
73,1
74,0
75,1
76,0
77,0
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,1
87,1
88,0
89,0
90,0
91,0
92,1
93,1
94,0
95,0
96,0
97,0
98,1
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,1
130,1
131,0
132,0
133,1
134,1
135,0
136,0
137,1
138,1
139,0
140,1
141,1
142,0
143,0
144,0
145,1
146,0
147,1
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,0
160,0
161,0
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,0
180,0
181,0
182,0
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,0
191,1
192,1
193,0
194,0
195,0
196,0
197,1
198,0
199,0
200,1
201,0
202,0
203,0
204,0
205,1
206,0
207,0
208,1
209,1
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,0
218,0
219,0
220,1
221,1
222,1
223,1
224,0
225,0
226,1
227,0
228,0
229,0
230,0
231,0
232,1
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,1
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,0
251,0
252,1
253,1
254,1
255,0
256,0
257,1
258,0
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,1
271,0
272,0
273,0
274,0
275,1
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,1
284,0
285,1
286,1
287,0
288,1
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,0
309,1
310,0
311,1
312,1
313,0
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,1
323,0
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,0
335,0
336,0
337,1
338,1
339,0
340,1
341,0
342,0
343,1
344,0
345,1
346,0
347,1
348,1
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,0
357,1
358,0
359,0
360,0
361,1
362,0
363,0
364,1
365,1
366,0
367,1
368,1
369,0
370,0
371,0
372,1
373,0
374,1
375,0
376,0
377,0
378,1
379,0
380,1
381,0
382,1
383,1
384,0
385,1
386,0
387,0
388,0
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,0
400,1
401,0
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,0
412,0
413,1
414,0
415,0
416,1
417,1
418,1
419,0
420,1
421,1
422,1
423,1
424,0
425,1
426,0
427,0
428,1
429,0
430,1
431,1
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,1
442,1
443,0
444,0
445,1
446,1
447,1
448,0
449,0
450,0
451,1
452,1
453,1
454,0
455,1
456,0
457,1
458,1
459,0
460,0
461,1
462,0
463,0
464,1
465,1
466,1
467,0
468,0
469,1
470,0
471,1
472,0
473,1
474,0
475,0
476,1
477,1
478,0
479,1
480,1
481,1
482,0
483,1
484,0
485,0
486,1
487,1
488,0
489,1
490,0
491,0
492,0
493,0
494,1
495,0
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,1
506,1
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,1
520,0
521,1
522,0
523,0
524,0
525,1
526,0
527,1
528,1
529,1
530,1
531,1
532,0
533,1
534,0
535,1
536,0
537,1
538,0
539,1
540,1
541,0
542,0
543,0
544,0
545,0
546,1
547,0
548,1
549,1
550,1
551,0
552,1
553,0
554,0
555,1
556,1
557,1
558,1
559,0
560,1
561,0
562,0
563,1
564,1
565,0
566,1
567,1
568,0
569,1
570,1
571,1
572,1
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,1
581,1
582,0
583,0
584,0
585,1
586,0
587,0
588,1
589,0
590,1
591,1
592,0
593,0
594,1
595,0
596,1
597,0
598,1
599,1
600,0
601,1
602,1
603,0
604,1
605,1
606,1
607,0
608,1
609,0
610,1
611,0
612,0
613,0
614,1
615,1
616,0
617,0
618,1
619,0
620,1
621,1
622,0
623,1
624,1
625,1
626,1
627,0
628,1
629,0
630,1
631,0
632,0
633,1
634,0
635,0
636,0
637,1
638,0
639,1
640,0
641,0
642,1
643,0
644,1
645,1
646,1
647,1
648,0
649,1
650,0
651,1
652,0
653,0
654,0
655,0
656,0
657,0
658,1
659,0
660,1
661,1
662,0
663,0
664,1
665,1
666,1
667,0
668,0
669,0
670,1
671,0
672,1
673,1
674,0
675,0
676,0
677,1
678,1
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,1
687,1
688,1
689,0
690,0
691,0
692,1
693,0
694,1
695,1
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,0
704,1
705,1
706,0
707,1
708,1
709,1
710,0
711,1
712,1
713,0
714,1
715,0
716,1
717,1
718,0
719,0
720,0
721,0
722,0
723,1
724,1
725,0
726,0
727,0
728,0
729,0
730,0
731,1
732,1
733,0
734,0
735,0
736,1
737,1
738,0
739,1
740,1
741,1
742,0
743,1
744,0
745,0
746,0
747,1
748,0
749,1
750,1
751,0
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,0
762,1
763,0
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,0
772,0
773,0
774,1
775,1
776,1
777,1
778,0
779,1
780,1
781,0
782,0
783,0
784,1
785,0
786,1
787,1
788,0
789,1
790,0
791,1
792,1
793,1
794,1
795,1
796,0
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,1
806,1
807,1
808,0
809,1
810,0
811,1
812,0
813,0
814,1
815,0
816,0
817,0
818,1
819,0
820,0
821,0
822,1
823,1
824,0
825,1
826,0
827,0
828,1
829,0
830,0
831,1
832,0
833,1
834,0
835,1
836,0
837,1
838,0
839,0
840,0
841,1
842,0
843,1
844,0
845,1
846,1
847,0
848,1
849,0
850,1
851,1
852,1
853,0
854,1
855,1
856,0
857,1
858,1
859,1
860,0
861,0
862,1
863,1
864,0
865,0
866,0
867,0
868,0
869,1
870,1
871,0
872,1
873,1
874,1
875,1
876,1
877,1
878,0
879,0
880,1
881,1
882,1
883,1
884,0
885,0
886,1
887,0
888,0
889,0
890,1
891,0
892,1
893,1
894,0
895,1
896,1
897,1
898,1
899,1
900,0
901,1
902,0
903,0
904,1
905,0
906,1
907,0
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,1
917,0
918,1
919,1
920,0
921,0
922,1
923,0
924,1
925,0
926,1
927,1
928,1
929,1
930,1
931,0
932,0
933,1
934,0
935,0
936,0
937,0
938,0
939,1
940,1
941,0
942,0
943,0
944,0
945,1
946,1
947,1
948,1
949,0
950,1
951,0
952,0
953,0
954,0
955,1
956,0
957,1
958,1
959,0
960,0
961,0
962,1
963,0
964,1
965,1
966,1
967,0
968,0
969,0
970,0
971,0
972,1
973,0
974,1
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,1
984,0
985,1
986,0
987,1
988,1
989,0
990,1
991,1
992,1
993,1
994,0
995,0
996,1
997,1
998,0
999,1
1000,0
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,0
1008,1
1009,1
1010,0
1011,1
1012,1
1013,0
1014,1
1015,1
1016,0
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,0
1025,0
1026,1
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,1
1034,0
1035,1
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,0
1044,1
1045,0
1046,0
1047,0
1048,1
1049,0
1050,1
1051,1
1052,0
1053,1
1054,1
1055,0
1056,1
1057,0
1058,1
1059,1
1060,0
