,duration,src_bytes,dst_bytes,count,srv_count,protocol_type,attack_type
0,0,146,0,13,1,udp,normal
1,0,0,0,123,6,tcp,neptune
2,0,232,8153,5,5,tcp,normal
3,0,199,420,30,32,tcp,normal
4,0,0,0,121,19,tcp,neptune
5,0,0,0,166,9,tcp,neptune
6,0,0,0,117,16,tcp,neptune
7,0,0,0,270,23,tcp,neptune
8,0,0,0,133,8,tcp,neptune
9,0,0,0,205,12,tcp,neptune
10,0,0,0,199,3,tcp,neptune
11,0,287,2251,3,7,tcp,normal
12,0,334,0,2,2,tcp,warezclient
13,0,0,0,233,1,tcp,neptune
14,0,0,0,96,16,tcp,neptune
15,0,300,13788,8,9,tcp,normal
16,0,18,0,1,1,icmp,ipsweep
17,0,233,616,3,3,tcp,normal
18,0,343,1178,9,10,tcp,normal
19,0,0,0,223,23,tcp,neptune
20,0,0,0,280,17,tcp,neptune
21,0,253,11905,8,10,tcp,normal
22,5607,147,105,1,1,udp,normal
23,0,0,0,248,2,tcp,neptune
24,507,437,14421,1,1,tcp,normal
25,0,0,0,279,7,tcp,neptune
26,0,227,6588,5,22,tcp,normal
27,0,215,10499,14,14,tcp,normal
28,0,241,1400,33,33,tcp,normal
29,0,8,0,1,12,icmp,ipsweep
30,0,0,0,57,16,tcp,neptune
31,0,303,555,9,9,tcp,normal
32,0,0,0,2,1,tcp,portsweep
33,0,45,45,181,181,udp,normal
34,1,105,147,2,2,udp,normal
35,0,43,43,122,202,udp,normal
36,0,0,0,205,17,tcp,neptune
37,0,324,2302,22,28,tcp,normal
38,0,0,0,228,13,tcp,neptune
39,0,0,0,50,11,tcp,neptune
40,0,0,0,262,12,tcp,neptune
41,2,1591,372,1,2,tcp,normal
42,9052,146,105,4,2,udp,normal
43,0,290,3006,11,11,tcp,normal
44,0,0,0,108,11,tcp,neptune
45,0,28,0,80,80,udp,teardrop
46,0,255,861,44,44,tcp,normal
47,0,334,0,2,2,tcp,warezclient
48,0,0,0,258,17,tcp,neptune
49,0,302,498,10,10,tcp,normal
50,0,0,0,61,4,tcp,neptune
51,0,28,0,2,2,udp,teardrop
52,0,220,1398,26,42,tcp,normal
53,0,43,69,120,120,udp,normal
54,0,44,133,73,75,udp,normal
55,0,8,0,1,15,icmp,nmap
56,0,0,0,135,9,tcp,neptune
57,0,0,0,24,12,tcp,neptune
58,0,43,43,148,228,udp,normal
59,0,641,0,2,2,tcp,normal
60,0,0,0,206,4,tcp,neptune
61,0,0,0,175,1,tcp,satan
62,0,310,2794,4,4,tcp,normal
